com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
53003,4,0,55,2023-12-07 15:04:00.000,,,2023-12-07 15:15:20.305,2023-12-07 15:15:20.305,97,1.1944444,63.31,5.19,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:05:00.000,f97fd9a8-8c66-4a75-a7d0-a2dda05b7338,
15055,4,0,12,2023-12-07 15:05:00.000,,,2023-12-07 15:15:20.320,2023-12-07 15:15:20.320,28,1.0833334,16.31,1.08,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:06:00.000,1f63c76e-bc96-418a-afd4-8c975df10860,
10305,4,0,13,2023-12-07 15:06:00.000,,,2023-12-07 15:15:20.342,2023-12-07 15:15:20.342,13,0.8888889,9.16,0.49,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:07:00.000,a01f0dc9-8cb1-4489-b200-62d32c9737c4,
40016,4,0,46,2023-12-07 15:21:00.000,,,2023-12-07 15:21:59.923,2023-12-07 15:21:34.381,69,1.1685165,46.760006,3.7899997,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:22:00.000,641876d9-2681-4a42-b179-0a2b985267e4,
60000,4,0,92,2023-12-07 15:22:00.000,,,2023-12-07 15:29:52.192,2023-12-07 15:22:00.588,111,1.3561667,81.37,5.2299995,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:23:00.000,bff58484-a6cb-4049-bc3e-912fdf3bb54e,
60000,4,0,113,2023-12-07 15:23:00.000,,,2023-12-07 15:29:52.259,2023-12-07 15:29:52.259,113,1.4473332,86.84,3.65,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:24:00.000,f984489c-4eb3-45b2-a9c6-41185de6ef0e,
60000,4,0,113,2023-12-07 15:24:00.000,,,2023-12-07 15:29:52.323,2023-12-07 15:29:52.323,113,1.4436667,86.62,3.83,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:25:00.000,ca7c3620-7f2e-4612-8a39-df674343cf61,
60000,4,0,111,2023-12-07 15:25:00.000,,,2023-12-07 15:29:52.368,2023-12-07 15:29:52.368,111,1.411,84.66,4.2,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:26:00.000,3d01fa7d-63b3-4b44-9ae0-39f7cc1baf77,
60000,4,0,111,2023-12-07 15:26:00.000,,,2023-12-07 15:29:52.397,2023-12-07 15:29:52.397,111,1.4166666,85.0,3.75,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:27:00.000,07b37d38-71e9-41df-a32c-9d08a0ee7ed8,
60000,4,0,113,2023-12-07 15:27:00.000,,,2023-12-07 15:29:52.421,2023-12-07 15:29:52.421,113,1.4458333,86.75,3.72,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:28:00.000,5773e348-b299-42fe-9447-96a093a40d7b,
60000,4,0,112,2023-12-07 15:28:00.000,,,2023-12-07 15:29:52.439,2023-12-07 15:29:52.439,112,1.4276667,85.66,3.99,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:29:00.000,8f1527d1-6d9c-4b45-951b-04f68ee094ff,
46593,4,0,50,2023-12-07 15:29:00.000,,,2023-12-07 15:35:01.352,2023-12-07 15:29:52.458,90,1.2194833,56.81999,6.7,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:30:00.000,4406a150-bad0-4091-8fb4-964999ab0dab,
34920,4,0,39,2023-12-07 15:30:00.000,,,2023-12-07 15:35:01.419,2023-12-07 15:35:01.419,59,1.0833334,37.83,3.99,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 15:31:00.000,d876c64d-763d-4081-844f-391abe79f825,
